影院名称,国家编码,在系统商的编码,系统商
横店电影城（宿迁店）,32120501,20002696,DingXin
姜堰横店电影城,32131701,,DingXin
横店电影城（泰州店）,32130801,,DingXin
泗洪横店电影城,32120901,20002875,DingXin
横店电影城（义乌伊美广场店),33091901,20002690,DingXin
横店电影城（古民居店）,33092701,20002941,DingXin
横店电影城（义乌银泰店）,33091501,,DingXin
余姚横店电影城,33041801,,DingXin
宁波洛兹横店影城,33044801,,DingXin
横店电影城(仙居店),33062701,20002742,DingXin
横店电影城（菏泽店）,37140701,,DingXin
横店电影城（泰安店）,37100701,20002691,DingXin
横店电影城（莱芜店）,37170301,,DingXin
横店电影城（威海店）,37111301,20002669,DingXin
横店电影城（淮南店）,34040201,,DingXin
宿州横店影视电影城,34090201,,DingXin
横店电影城（宣城店）,34140401,,DingXin
横店影视电影城(亳州店),34150301,,DingXin
泉州横店电影城,35052101,,DingXin
横店电影城（景德镇店）,36020301,20002731,DingXin
新余天恒横店电影城,36050202,,DingXin
新余工人文化宫横店电影城,36050301,,DingXin
鹰潭横店电影城,36060501,,DingXin
罗田横店电影城,42061601,,DingXin
通山横店电影城,42081101,,DingXin
荆门横店电影院,42040501,,DingXin
建始横店电影城,42111301,,DingXin
横店电影城（长沙王府井店）,43010701,,DingXin
岳麓横店电影城,43014301,,DingXin
邵东横店电影城,43051001,,DingXin
横店电影城（宝龙广场店）,41011801,,DingXin
横店电影城（百盛店）,41011311,,DingXin
横店电影城（开封店）,41021201,20002678,DingXin
横店电影城(信阳店),41151701,20002670,DingXin
济源横店电影城,41181301,,DingXin
长葛横店电影城,41101401,20002770,DingXin
安阳横店电影城,41052001,,DingXin
沁阳横店电影城,41081601,20002791,DingXin
巩义横店电影城,41014401,,DingXin
佛山禅城横店影城,44134201,20002711,DingXin
顺德横店电影城,44135001,20002796,DingXin
横店电影城(广州庆丰店),44001001,,DingXin
钦州横店电影城,45070501,,DingXin
攀枝花横店电影城,51197601,20002708,DingXin
横店电影城（都江堰店）,51019201,20002693,DingXin
横店电影城（贵阳店）,52011401,20002723,DingXin
横店影视电影城(楚雄店),53230101,20002694,DingXin
横店电影城（景洪店）,53280301,20002706,DingXin
安宁横店电影城,53012201,20002697,DingXin
普洱横店电影城,53080301,20002755,DingXin
邯郸横店电影城,13103701,,DingXin
长春横店影城,22112401,,DingXin
东港横店电影城,21060901,20002815,DingXin
横店影视电影城(中卫店),64050201,,DingXin
横店电影城(固原店),64040901,20002709,DingXin
西宁横店电影城,63010702,20002778,DingXin
嘉峪关横店电影城,62130301,20002617,DingXin
横店电影城（呼和浩特中山西路店）,15010801,,DingXin
横店电影城（鄂尔多斯王府井店）,15030103,,DingXin
扎兰屯横店电影城,15100107,,DingXin
锡林浩特横店电影城,15080103,20002761,DingXin
横店影视电影城(东阳店),33092101,20002736,DingXin
横店电影城（湘潭店）,43030401,,DingXin
庆阳横店电影城,62040201,,DingXin
横店电影城（上虞店）,33052101,,DingXin
仙桃横店电影城,42140301,20002937,DingXin
金逸乐的3D影城,44061201,44061201,HuoFengHuang2
铜锣湾华邦影城（横店院线加盟店）,14012101,20002799,DingXin
东胜横店影城,13015101,,DingXin
济南丁豪横店电影城,37023301,,DingXin
曲靖横店电影城,53030701,,DingXin
苏宁横店影城,13015201,,DingXin
横店电影城(磐安店),33093301,,DingXin
横店电影城(邢台店),13092501,,DingXin
横店电影城(漳浦店),35060171,,DingXin
横店电影城(芜湖店),34022101,,DingXin
湛江横店电影城,44151701,,DingXin
横店电影城(运城店),14081501,20003027,DingXin
广州南沙横店电影城,44211701,,DingXin
晋江横店电影城,35050321,20002992,DingXin
横店电影城(辽阳店),21100111,,DingXin
红河市弥勒横店电影城,53251001,20003079,DingXin
南宁水街横店电影城,45010361,,DingXin
长沙沃美影城,43012201,43012201,HuoFengHuang2
北京沃美影城(常营店),11057401,1005,VISTA
贵阳沃美影城,52011501,1006,VISTA
重庆沃美影城,50120901,1002,VISTA
南京沃美影城,32014801,1003,VISTA
合肥沃美影城,34014701,1007,VISTA
泉州沃美影城,35053101,1008,VISTA
回龙观沃美影城,11010521,1009,VISTA
南宁沃美影城,45012401,1001,VISTA
沈阳沃美影城,21016501,1004,VISTA
广州UA花城汇影城,44008401,,HuoFengHuang2
UME国际影城(1912店),32012601,,HuoFengHuang2
乌鲁木齐华夏天山友好影城,65010304,15,OneNineZeroFive
华纳国际激光影城,65010305,41,OneNineZeroFive
乌鲁木齐幸福电影院,65010205,24,OneNineZeroFive
乌鲁木齐银河欢乐影城,65010403,,ManTianXing
洪山天河影院,42015601,42015601,HuoFengHuang2
汉阳天河电影城,42016201,42016201,HuoFengHuang2
亚新国际影城(郧西店),42091901,,ManTianXing
衢州金泰国际影城,33111501,,ManTianXing
广州万达国际影城(白云店),44006401,,DingXin
天津万达国际影城(河东店),12041401,,DingXin
太平洋影城（金沙店）,51012001,,DingXin
339电影城（原新时代高塔旗舰店）,51010601,,DingXin
广元东正国际影城,51150301,20002876,DingXin
射洪新世纪电影城,51163201,,ManTianXing
世纪天虹影城,31172501,31172501,HuoFengHuang2
世纪仙霞影城,31081601,31081601,HuoFengHuang2
上海世纪友谊影城,31110101,31110101,HuoFengHuang2
太仓世纪南洋影城,32021601,32021601,HuoFengHuang2
华意影城,34060601,34060601,HuoFengHuang2
世纪沪星影城,31113601,31113601,HuoFengHuang2
南通文化宫世纪影城（巨幕影院）,32100402,,HuoFengHuang2
完美世界影城春都店（原17.5影城）,31113201,31113201,HuoFengHuang2
完美世界影城临港店（原17.5影城）,31133601,31133601,HuoFengHuang2
完美世界影城闵行店（原17.5影城）,31112901,31112901,HuoFengHuang2
SFC上影又一城店,31090801,31090801,HuoFengHuang2
完美世界影城北虹店（原17.5影城）,31081901,31081901,HuoFengHuang2
洛阳新华国际影城,41030401,41030401,ManTianXing
完美世界影城今日店（原17.5影城）,11063301,11063301,HuoFengHuang2
北京17.5影城今典店,11020901,11020901,HuoFengHuang2
完美世界影城比如店（原17.5影城）,11056201,11056201,HuoFengHuang2
完美世界影城四道口店（原17.5影城）,11068201,11068201,HuoFengHuang2
完美世界影城管庄店（原17.5影城）,11068901,11068901,HuoFengHuang2
完美世界影城闸北店（原17.5影城）,31100901,31100901,HuoFengHuang2
完美世界影城北桥店（原17.5影城）,31113101,31113101,HuoFengHuang2
肇庆完美世界影城怀集店（原17.5影城）,44170801,44170801,HuoFengHuang2
长沙17.5影城左家塘店,43011401,43011401,HuoFengHuang2
长沙完美世界影城望城店（原17.5影城）,43012601,43012601,HuoFengHuang2
长春完美世界影城中东店（原17.5影城）,22111701,22111701,HuoFengHuang2
长春完美世界影城新天地店（原17.5影城）,22111201,22111201,HuoFengHuang2
完美世界影城永春店（原17.5影城）,13032301,13032301,HuoFengHuang2
湘潭完美世界影城建鑫城店（原17.5影城）,43030801,43030801,HuoFengHuang2
完美世界影城百佳惠店（原17.5影城）,37062801,37062801,HuoFengHuang2
通化完美世界影城中东店（原17.5影城）,22050201,22050201,HuoFengHuang2
通化完美世界影城金恺威店（原17.5影城）,22050301,22050301,HuoFengHuang2
完美世界影城迎宾店（原17.5影城）,12094101,12094101,HuoFengHuang2
完美世界影城宝坻店（原17.5影城）,12154001,12154001,HuoFengHuang2
邵阳完美世界影城明珠店（原17.5影城）,43050901,43050901,HuoFengHuang2
完美世界影城青特店（原17.5影城）,37034801,37034801,HuoFengHuang2
完美世界影城台东店（原17.5影城）,37035801,37035801,HuoFengHuang2
南通完美世界影城曼度店（原17.5影城）,32102501,32102501,HuoFengHuang2
南昌完美世界影城胜利店（原17.5影城）,36011101,36011101,HuoFengHuang2
临沧完美世界影城财富店（原17.5影城）,53090301,53090301,HuoFengHuang2
完美世界影城臻万店（原17.5影城）,53012001,53012001,HuoFengHuang2
完美世界影城新天地店（原17.5影城）,53250601,53250601,HuoFengHuang2
靖江完美世界影城恒天店（原17.5影城）,32131401,32131401,HuoFengHuang2
